Species,Date,JulianDay,JulDay,Lake,Total,PropBrood,PropAdBrood,PropAsexAdBrood
Parvula,15-Sep-14,2014258,258,North,17,0,0,0
Parvula,29-Sep-14,2014272,272,North,5,0,0,0
Parvula,27-Oct-14,2014300,300,North,1,0,0,0
Parvula,11-Nov-14,2014315,315,North,1,0,0,0
Pulicaria,24-Jul-14,2014205,205,North,132,0,0,0
Pulicaria,4-Aug-14,2014216,216,North,1,1,1,0
Pulicaria,15-Sep-14,2014258,258,North,5,0,0,0
Retrocurva,24-Jul-14,2014205,205,North,96,0,0,0
Retrocurva,4-Aug-14,2014216,216,North,223,0,0,0
Retrocurva,18-Aug-14,2014230,230,North,286,0.003496503,0.009708738,0.009803922
Retrocurva,2-Sep-14,2014245,245,North,542,0.025830258,0.062780269,0.066985646
Retrocurva,15-Sep-14,2014258,258,North,584,0.010273973,0.028846154,0.02970297
Retrocurva,29-Sep-14,2014272,272,North,303,0.01980198,0.035928144,0.037267081
Retrocurva,14-Oct-14,2014287,287,North,246,0.048780488,0.088235294,0.096774194
Retrocurva,27-Oct-14,2014300,300,North,356,0.028089888,0.055865922,0.05952381
Retrocurva,11-Nov-14,2014315,315,North,264,0,0,0
Ambigua,18-Sep-14,2014261,261,Pickerel,1,0,0,0
Ceriodaphnia,24-Jul-14,2014205,205,Pickerel,25,0,0,0
Ceriodaphnia,5-Aug-14,2014217,217,Pickerel,24,0,0,0
Ceriodaphnia,21-Aug-14,2014233,233,Pickerel,12,0,0,0
Ceriodaphnia,4-Sep-14,2014247,247,Pickerel,11,0,0,0
Ceriodaphnia,18-Sep-14,2014261,261,Pickerel,27,0,0,0
Ceriodaphnia,3-Oct-14,2014276,276,Pickerel,60,0,0,0
Ceriodaphnia,17-Oct-14,2014290,290,Pickerel,27,0,0,0
Ceriodaphnia,31-Oct-14,2014304,304,Pickerel,7,0,0,0
Ceriodaphnia,14-Nov-14,2014318,318,Pickerel,12,0,0,0
Dentifera,24-Jul-14,2014205,205,Pickerel,207,0,0,0
Dentifera,5-Aug-14,2014217,217,Pickerel,216,0,0,0
Dentifera,21-Aug-14,2014233,233,Pickerel,211,0,0,0
Dentifera,4-Sep-14,2014247,247,Pickerel,205,0,0,0
Dentifera,18-Sep-14,2014261,261,Pickerel,230,0.004347826,0.015873016,0.016129032
Dentifera,3-Oct-14,2014276,276,Pickerel,403,0.022332506,0.054216867,0.057324841
Dentifera,17-Oct-14,2014290,290,Pickerel,217,0.023041475,0.094339623,0.104166667
Dentifera,31-Oct-14,2014304,304,Pickerel,379,0.007915567,0.015873016,0.026785714
Dentifera,14-Nov-14,2014318,318,Pickerel,224,0,0,0
Dubia,24-Jul-14,2014205,205,Pickerel,7,0,0,0
Dubia,5-Aug-14,2014217,217,Pickerel,10,0,0,0
Dubia,21-Aug-14,2014233,233,Pickerel,13,0,0,0
Dubia,4-Sep-14,2014247,247,Pickerel,23,0,0,0
Dubia,18-Sep-14,2014261,261,Pickerel,66,0,0,0
Dubia,3-Oct-14,2014276,276,Pickerel,32,0,0,0
Dubia,31-Oct-14,2014304,304,Pickerel,2,0,0,0
Parvula,5-Aug-14,2014217,217,Pickerel,4,0,0,0
Parvula,4-Sep-14,2014247,247,Pickerel,5,0,0,0
Parvula,17-Oct-14,2014290,290,Pickerel,1,0,0,0
Parvula,31-Oct-14,2014304,304,Pickerel,2,0,0,0
Parvula,14-Nov-14,2014318,318,Pickerel,1,0,0,0
Pulicaria,24-Jul-14,2014205,205,Pickerel,268,0.003731343,0.013333333,0.013513514
Pulicaria,5-Aug-14,2014217,217,Pickerel,255,0.003921569,0.01754386,0.017857143
Pulicaria,21-Aug-14,2014233,233,Pickerel,203,0,0,0
Pulicaria,4-Sep-14,2014247,247,Pickerel,211,0,0,0
Pulicaria,18-Sep-14,2014261,261,Pickerel,242,0.004132231,0.013513514,0.01369863
Pulicaria,3-Oct-14,2014276,276,Pickerel,224,0.008928571,0.014285714,0.014492754
Pulicaria,17-Oct-14,2014290,290,Pickerel,256,0,0,0
Pulicaria,31-Oct-14,2014304,304,Pickerel,57,0,0,0
Pulicaria,14-Nov-14,2014318,318,Pickerel,71,0,0,0
Retrocurva,24-Jul-14,2014205,205,Pickerel,3,0,0,0
Retrocurva,5-Aug-14,2014217,217,Pickerel,8,0,0,0
Retrocurva,21-Aug-14,2014233,233,Pickerel,44,0,0,0
Retrocurva,4-Sep-14,2014247,247,Pickerel,129,0,0,0
Retrocurva,18-Sep-14,2014261,261,Pickerel,374,0.010695187,0.019230769,0.019607843
Retrocurva,3-Oct-14,2014276,276,Pickerel,213,0,0,0
Retrocurva,17-Oct-14,2014290,290,Pickerel,208,0.004807692,0.014492754,0.014705882
Retrocurva,31-Oct-14,2014304,304,Pickerel,200,0,0,0
Retrocurva,14-Nov-14,2014318,318,Pickerel,209,0,0,0
Ceriodaphnia,25-Jul-14,2014206,206,Sullivan,2,0,0,0
Ceriodaphnia,5-Aug-14,2014217,217,Sullivan,131,0,0,0
Ceriodaphnia,21-Aug-14,2014233,233,Sullivan,120,0,0,0
Ceriodaphnia,4-Sep-14,2014247,247,Sullivan,135,0,0,0
Ceriodaphnia,18-Sep-14,2014261,261,Sullivan,229,0,0,0
Ceriodaphnia,3-Oct-14,2014276,276,Sullivan,200,0,0,0
Ceriodaphnia,17-Oct-14,2014290,290,Sullivan,1,0,0,0
Dentifera,25-Jul-14,2014206,206,Sullivan,292,0,0,0
Dentifera,5-Aug-14,2014217,217,Sullivan,275,0,0,0
Dentifera,21-Aug-14,2014233,233,Sullivan,278,0,0,0
Dentifera,4-Sep-14,2014247,247,Sullivan,582,0.001718213,0.00295858,0.002967359
Dentifera,18-Sep-14,2014261,261,Sullivan,291,0,0,0
Dentifera,3-Oct-14,2014276,276,Sullivan,791,0,0,0
Dentifera,17-Oct-14,2014290,290,Sullivan,239,0,0,0
Dentifera,31-Oct-14,2014304,304,Sullivan,252,0,0,0
Dentifera,14-Nov-14,2014318,318,Sullivan,215,0,0,0
Pulicaria,25-Jul-14,2014206,206,Sullivan,125,0,0,0
Pulicaria,5-Aug-14,2014217,217,Sullivan,21,0,0,0
Pulicaria,21-Aug-14,2014233,233,Sullivan,69,0,0,0
Pulicaria,4-Sep-14,2014247,247,Sullivan,44,0,0,0
Pulicaria,18-Sep-14,2014261,261,Sullivan,7,0,0,0
Pulicaria,3-Oct-14,2014276,276,Sullivan,4,0,0,0
Pulicaria,17-Oct-14,2014290,290,Sullivan,1,0,0,0
Pulicaria,31-Oct-14,2014304,304,Sullivan,18,0,0,0
Pulicaria,14-Nov-14,2014318,318,Sullivan,19,0,0,0
Ceriodaphnia,15-Jul-14,2014196,196,Walsh,19,0,0,0
Ceriodaphnia,29-Jul-14,2014210,210,Walsh,37,0,0,0
Ceriodaphnia,26-Aug-14,2014238,238,Walsh,3,0,0,0
Ceriodaphnia,8-Sep-14,2014251,251,Walsh,187,0.048128342,0.06870229,0.073770492
Ceriodaphnia,22-Sep-14,2014265,265,Walsh,211,0.004739336,0.007407407,0
Ceriodaphnia,6-Oct-14,2014279,279,Walsh,211,0.009478673,0.012658228,0.01369863
Ceriodaphnia,21-Oct-14,2014294,294,Walsh,66,0,0,0
Dentifera,15-Jul-14,2014196,196,Walsh,354,0,0,0
Dentifera,29-Jul-14,2014210,210,Walsh,532,0,0,0
Dentifera,8-Aug-14,2014220,220,Walsh,228,0,0,0
Dentifera,26-Aug-14,2014238,238,Walsh,239,0,0,0
Dentifera,8-Sep-14,2014251,251,Walsh,269,0,0,0
Dentifera,22-Sep-14,2014265,265,Walsh,949,0.002107482,0.005263158,0.005291005
Dentifera,6-Oct-14,2014279,279,Walsh,350,0,0,0
Dentifera,21-Oct-14,2014294,294,Walsh,211,0,0,0
Dentifera,3-Nov-14,2014307,307,Walsh,207,0,0,0
Parvula,29-Jul-14,2014210,210,Walsh,128,0,0,0
Parvula,8-Aug-14,2014220,220,Walsh,1,0,0,0
Parvula,22-Aug-14,2014234,234,Walsh,1,0,0,0
Parvula,8-Sep-14,2014251,251,Walsh,94,0,0,0
Parvula,22-Sep-14,2014265,265,Walsh,87,0,0,0
Pulicaria,29-Jul-14,2014210,210,Walsh,4,0,0,0
Retrocurva,29-Jul-14,2014210,210,Walsh,6,0,0,0
Retrocurva,8-Sep-14,2014251,251,Walsh,5,0,0,0
Retrocurva,6-Oct-14,2014279,279,Walsh,1,0,0,0
Retrocurva,3-Nov-14,2014307,307,Walsh,1,0,0,0
Ceriodaphnia,22-Aug-14,2014234,234,Whitmore,2,0,0,0
Ceriodaphnia,5-Sep-14,2014248,248,Whitmore,26,0,0,0
Ceriodaphnia,19-Sep-14,2014262,262,Whitmore,8,0,0,0
Ceriodaphnia,2-Oct-14,2014275,275,Whitmore,10,0,0,0
Ceriodaphnia,30-Oct-14,2014303,303,Whitmore,3,0,0,0
Ceriodaphnia,13-Nov-14,2014317,317,Whitmore,2,0,0,0
Dentifera,6-Aug-14,2014218,218,Whitmore,6,0,0,0
Dentifera,22-Aug-14,2014234,234,Whitmore,14,0,0,0
Dentifera,5-Sep-14,2014248,248,Whitmore,14,0,0,0
Dentifera,19-Sep-14,2014262,262,Whitmore,39,0,0,0
Dentifera,2-Oct-14,2014275,275,Whitmore,78,0,0,0
Dentifera,16-Oct-14,2014289,289,Whitmore,77,0,0,0
Dentifera,30-Oct-14,2014303,303,Whitmore,28,0,0,0
Dentifera,13-Nov-14,2014317,317,Whitmore,187,0,0,0
Dubia,22-Aug-14,2014234,234,Whitmore,8,0,0,0
Dubia,5-Sep-14,2014248,248,Whitmore,3,0,0,0
Dubia,19-Sep-14,2014262,262,Whitmore,2,0,0,0
Dubia,2-Oct-14,2014275,275,Whitmore,25,0,0,0
Dubia,16-Oct-14,2014289,289,Whitmore,9,0,0,0
Mendotae,30-Oct-14,2014303,303,Whitmore,28,0,0,0
Mendotae,13-Nov-14,2014317,317,Whitmore,25,0,0,0
Parvula,2-Oct-14,2014275,275,Whitmore,2,0,0,0
Parvula,16-Oct-14,2014289,289,Whitmore,1,0,0,0
Pulicaria,22-Jul-14,2014203,203,Whitmore,201,0,0,0
Pulicaria,6-Aug-14,2014218,218,Whitmore,500,0.004,0.006688963,0.006734007
Pulicaria,22-Aug-14,2014234,234,Whitmore,213,0.014084507,0.024390244,0.025
Pulicaria,5-Sep-14,2014248,248,Whitmore,215,0,0,0
Pulicaria,19-Sep-14,2014262,262,Whitmore,127,0,0,0
Pulicaria,2-Oct-14,2014275,275,Whitmore,101,0,0,0
Pulicaria,16-Oct-14,2014289,289,Whitmore,78,0,0,0
Pulicaria,30-Oct-14,2014303,303,Whitmore,5,0,0,0
Pulicaria,13-Nov-14,2014317,317,Whitmore,10,0,0,0
Retrocurva,22-Jul-14,2014203,203,Whitmore,212,0.009433962,0.022222222,0.022727273
Retrocurva,6-Aug-14,2014218,218,Whitmore,475,0.002105263,0.003968254,0.003984064
Retrocurva,22-Aug-14,2014234,234,Whitmore,279,0,0,0
Retrocurva,5-Sep-14,2014248,248,Whitmore,200,0,0,0
Retrocurva,19-Sep-14,2014262,262,Whitmore,152,0,0,0
Retrocurva,2-Oct-14,2014275,275,Whitmore,138,0,0,0
Retrocurva,16-Oct-14,2014289,289,Whitmore,124,0.016129032,0.025974026,0.026666667
Retrocurva,30-Oct-14,2014303,303,Whitmore,202,0,0,0
Retrocurva,13-Nov-14,2014317,317,Whitmore,281,0,0,0
Ambigua,22-Jul-14,2014203,203,Woodland,17,0,0,0
Ambigua,6-Aug-14,2014218,218,Woodland,26,0,0,0
Ambigua,19-Sep-14,2014262,262,Woodland,5,0,0,0
Ceriodaphnia,22-Jul-14,2014203,203,Woodland,403,0.00248139,0.004901961,0
Ceriodaphnia,6-Aug-14,2014218,218,Woodland,230,0,0,0
Ceriodaphnia,22-Aug-14,2014234,234,Woodland,38,0,0,0
Ceriodaphnia,5-Sep-14,2014248,248,Woodland,206,0.004854369,0.008474576,0.008547009
Ceriodaphnia,19-Sep-14,2014262,262,Woodland,224,0,0,0
Ceriodaphnia,2-Oct-14,2014275,275,Woodland,295,0,0,0
Ceriodaphnia,16-Oct-14,2014289,289,Woodland,236,0.004237288,0.006849315,0.010416667
Ceriodaphnia,30-Oct-14,2014303,303,Woodland,194,0,0,0
Ceriodaphnia,13-Nov-14,2014317,317,Woodland,108,0,0,0
Dentifera,22-Jul-14,2014203,203,Woodland,159,0,0,0
Dentifera,6-Aug-14,2014218,218,Woodland,72,0,0,0
Dentifera,22-Aug-14,2014234,234,Woodland,4,0,0,0
Dentifera,5-Sep-14,2014248,248,Woodland,4,0,0,0
Dentifera,19-Sep-14,2014262,262,Woodland,13,0,0,0
Dentifera,2-Oct-14,2014275,275,Woodland,30,0,0,0
Dentifera,16-Oct-14,2014289,289,Woodland,145,0,0,0
Dentifera,30-Oct-14,2014303,303,Woodland,29,0,0,0
Dentifera,13-Nov-14,2014317,317,Woodland,58,0,0,0
Dubia,22-Jul-14,2014203,203,Woodland,317,0.003154574,0.008196721,0.008264463
Dubia,6-Aug-14,2014218,218,Woodland,4,0,0,0
Dubia,19-Sep-14,2014262,262,Woodland,3,0,0,0
Parvula,6-Aug-14,2014218,218,Woodland,2,0,0,0
Parvula,19-Sep-14,2014262,262,Woodland,9,0,0,0
Parvula,2-Oct-14,2014275,275,Woodland,90,0.011111111,0.01754386,0.017857143
Parvula,16-Oct-14,2014289,289,Woodland,60,0,0,0
Parvula,30-Oct-14,2014303,303,Woodland,27,0,0,0
Parvula,13-Nov-14,2014317,317,Woodland,23,0,0,0
Pulicaria,22-Jul-14,2014203,203,Woodland,1,0,0,0
Pulicaria,6-Aug-14,2014218,218,Woodland,4,0,0,0
Pulicaria,5-Sep-14,2014248,248,Woodland,1,0,0,0
Retrocurva,22-Jul-14,2014203,203,Woodland,151,0,0,0
Retrocurva,6-Aug-14,2014218,218,Woodland,312,0,0,0
Retrocurva,22-Aug-14,2014234,234,Woodland,255,0,0,0
Retrocurva,5-Sep-14,2014248,248,Woodland,224,0,0,0
Retrocurva,19-Sep-14,2014262,262,Woodland,255,0,0,0
Retrocurva,2-Oct-14,2014275,275,Woodland,200,0.005,0.010989011,0.011111111
Retrocurva,16-Oct-14,2014289,289,Woodland,372,0,0,0
Retrocurva,30-Oct-14,2014303,303,Woodland,393,0,0,0
Retrocurva,13-Nov-14,2014317,317,Woodland,265,0,0,0
